"","ABEV3.SA.Adjusted","AZUL4.SA.Adjusted","B3SA3.SA.Adjusted","BBAS3.SA.Adjusted","BBDC4.SA.Adjusted","BBSE3.SA.Adjusted","BPAC11.SA.Adjusted","BRDT3.SA.Adjusted","BRFS3.SA.Adjusted","BRML3.SA.Adjusted","BTOW3.SA.Adjusted","CCRO3.SA.Adjusted","CIEL3.SA.Adjusted","CMIG4.SA.Adjusted","COGN3.SA.Adjusted","CSNA3.SA.Adjusted","CYRE3.SA.Adjusted","ELET3.SA.Adjusted","EQTL3.SA.Adjusted","GGBR4.SA.Adjusted","GOAU4.SA.Adjusted","GOLL4.SA.Adjusted","IRBR3.SA.Adjusted","ITSA4.SA.Adjusted","ITUB4.SA.Adjusted","JBSS3.SA.Adjusted","KLBN11.SA.Adjusted","LAME4.SA.Adjusted","LREN3.SA.Adjusted","MGLU3.SA.Adjusted","MRFG3.SA.Adjusted","MRVE3.SA.Adjusted","MULT3.SA.Adjusted","PETR3.SA.Adjusted","PETR4.SA.Adjusted","RADL3.SA.Adjusted","RAIL3.SA.Adjusted","RENT3.SA.Adjusted","SBSP3.SA.Adjusted","SULA11.SA.Adjusted","SUZB3.SA.Adjusted","UGPA3.SA.Adjusted","USIM5.SA.Adjusted","VALE3.SA.Adjusted","VVAR3.SA.Adjusted","WEGE3.SA.Adjusted","YDUQ3.SA.Adjusted"
"1",20.466537,27.15,21.070681,28.570686,23.50642,21.637783,16.736717,14.059654,37.27,11.44658,19.768299,14.538315,20.303246,5.721299,17.506113,7.202983,11.158883,16.395636,12.440254,12.326227,5.707412,15.19,10.584491,8.456573,25.617584,9.817851,16.323025,16.165472,30.78109,2.309358,7.3,11.121325,23.184311,16.250778,15.353477,17.399899,12.99,21.098694,31.710955,16.947248,18.297861,36.147934,9.311539,37.49332,7.698611,18.478027,30.466543
"2",20.513718,27.059999,21.429371,28.93508,23.61334,21.652861,16.896116,14.116774,37,11.409657,19.6101,14.432966,20.589802,5.671977,17.658833,7.46853,11.209149,16.186226,12.464863,12.307218,5.688544,15.01,10.584491,8.556257,25.792728,9.603997,16.116743,16.019388,31.172937,2.280236,7.22,11.283034,23.277401,16.457075,15.492632,16.968988,12.6,21.386024,31.142725,17.423347,18.161526,35.791004,9.621925,37.26865,7.738552,18.197294,30.49353
"3",20.400486,27.23,21.567327,29.212725,24.000765,21.698097,16.958103,14.035174,37.400002,11.548123,20.1439,14.485641,20.606655,5.606214,17.897469,7.700885,11.301301,16.08148,12.324553,12.972474,5.896086,15.58,10.675483,8.717254,26.329889,9.623439,16.143648,15.78565,31.347067,2.334985,7.22,11.209536,23.251699,16.597738,15.520465,17.099804,12.62,21.691954,30.537834,17.469122,18.210218,36.208984,10.165097,37.421429,7.798464,18.020063,30.367598
"4",20.475973,27.200001,21.880028,29.212725,24.136698,21.841341,17.238482,14.279974,39.240002,11.585049,19.768299,14.547094,20.842638,5.61443,17.859287,7.875151,11.47723,15.933172,12.445903,12.810911,5.914954,15.66,10.813667,8.732521,26.405729,9.701203,15.991179,15.898324,31.15551,2.288968,7.28,11.371245,23.421803,16.729017,15.613236,17.399899,12.6,21.376778,30.886106,17.524055,18.161526,36.284126,9.728619,38.005577,7.548833,18.093994,29.953819
"5",20.438229,26.91,21.981201,29.282137,24.129866,21.969511,17.449717,14.198374,39.700001,11.538891,19.6101,14.345174,21.070202,5.630871,17.067026,8.256875,11.535873,16.037832,12.608965,13.257584,5.990423,15.7,10.989532,8.724931,26.318163,9.720645,16.278181,16.182138,30.998711,2.289257,7.15,11.143396,23.129826,16.991579,15.798776,17.178673,12.76,21.274773,31.518492,17.267702,18.599739,36.537731,9.835315,38.850346,7.678641,18.241655,30.061758
"6",20.381615,26.799999,21.668493,29.004496,23.905565,21.894121,17.330324,14.198374,39.849998,11.317346,19.620001,14.353953,20.690933,5.515786,17.277027,8.480933,11.485607,15.400875,12.608965,13.333612,5.980989,15.32,10.973802,8.586872,26.032148,9.390143,16.098808,15.966847,31.181555,2.234219,7.06,11.209536,23.197212,16.991579,15.798776,16.93821,12.35,21.098694,31.087734,17.304321,18.794498,36.396839,9.942009,38.706554,7.718582,18.537075,29.549038
"7",20.381615,26.450001,21.475355,28.883024,23.654079,21.803648,17.210932,14.075974,39.09,11.261958,18.967699,14.002785,20.395954,5.59799,17.611111,8.505826,11.24266,14.781378,12.512266,13.153044,5.999857,15,10.970693,8.586872,25.94458,9.409585,15.784902,15.653779,30.345663,2.256939,7.05,11.231609,23.075239,16.672752,15.585404,16.420732,12.32,21.052361,30.464518,17.395874,18.901619,36.115059,9.942009,38.167339,7.518878,18.389317,29.576025
"8",20.617514,26.549999,21.824846,29.542423,24.129866,21.931816,17.174194,13.994374,39.360001,11.437349,18.6514,14.002785,20.379097,5.713074,16.971573,9.003729,11.686669,15.008246,12.586213,14.226954,6.301737,14.6,11.303487,8.724931,26.487518,9.50679,15.695213,15.370065,30.476313,2.261011,7.06,11.408033,23.364042,17.085356,16.002871,16.649656,12.58,21.506529,30.867779,17.670547,18.833454,36.255947,10.475483,38.913254,7.738552,18.743874,30.484533
"9",20.381615,26.4,21.714483,29.611828,24.129866,21.977051,17.220116,13.929093,39.560001,11.271191,18.344999,14.099356,20.311672,5.655536,16.236582,8.721584,11.770444,14.667902,12.686706,14.226954,6.462111,14.61,11.614332,8.74787,26.464144,9.545672,15.479966,15.379881,30.737507,2.258682,6.88,11.38596,23.258148,17.216637,16.049253,16.640034,12.63,21.117184,31.051079,17.578997,18.765285,36.335785,10.688872,39.13792,7.738552,18.884146,29.683968
"10",20.589203,26.98,21.778862,29.759321,24.299807,21.946892,17.449717,14.337092,39.529999,11.52966,18.7897,14.116916,20.016691,5.630871,16.169764,8.94564,12.055282,14.859853,12.893378,14.084401,6.433809,14.8,11.774465,8.855228,26.627632,9.516511,15.470995,15.409235,31.521198,2.297709,6.84,11.42267,23.585459,17.310404,16.095642,16.666965,12.71,21.784714,31.06941,18.036781,18.960047,36.439106,10.960458,39.066032,7.778493,19.009726,29.423107
